PCODE,location,longitude,latitude,Datum,CountryNum,StateNum,Route,Stop
BBSAB,BBSAB:1:Stop1,-110.844523,49.932225,NA,124,4,1,1
BBSAB,BBSAB:1:Stop2,-110.850851,49.926829,NA,124,4,1,2
BBSAB,BBSAB:1:Stop3,-110.85655,49.920735,NA,124,4,1,3
BBSAB,BBSAB:1:Stop4,-110.862248,49.914641,NA,124,4,1,4
BBSAB,BBSAB:1:Stop5,-110.867944,49.908545,NA,124,4,1,5
BBSAB,BBSAB:1:Stop6,-110.873639,49.902448,NA,124,4,1,6
BBSAB,BBSAB:1:Stop7,-110.879336,49.896352,NA,124,4,1,7
BBSAB,BBSAB:1:Stop8,-110.885261,49.890495,NA,124,4,1,8
BBSAB,BBSAB:1:Stop9,-110.89247,49.886334,NA,124,4,1,9
BBSAB,BBSAB:1:Stop10,-110.892734,49.881385,NA,124,4,1,10
BBSAB,BBSAB:1:Stop11,-110.887026,49.875299,NA,124,4,1,11
BBSAB,BBSAB:1:Stop12,-110.885365,49.867574,NA,124,4,1,12
BBSAB,BBSAB:1:Stop13,-110.886216,49.859647,NA,124,4,1,13
BBSAB,BBSAB:1:Stop14,-110.885135,49.851431,NA,124,4,1,14
BBSAB,BBSAB:1:Stop15,-110.885132,49.843088,NA,124,4,1,15
BBSAB,BBSAB:1:Stop16,-110.885119,49.834745,NA,124,4,1,16
BBSAB,BBSAB:1:Stop17,-110.885106,49.826401,NA,124,4,1,17
BBSAB,BBSAB:1:Stop18,-110.880923,49.819866,NA,124,4,1,18
BBSAB,BBSAB:1:Stop19,-110.874114,49.815045,NA,124,4,1,19
BBSAB,BBSAB:1:Stop20,-110.867305,49.810224,NA,124,4,1,20
BBSAB,BBSAB:1:Stop21,-110.865017,49.803225,NA,124,4,1,21
BBSAB,BBSAB:1:Stop22,-110.863612,49.795145,NA,124,4,1,22
BBSAB,BBSAB:1:Stop23,-110.862467,49.786956,NA,124,4,1,23
BBSAB,BBSAB:1:Stop24,-110.862469,49.778613,NA,124,4,1,24
BBSAB,BBSAB:1:Stop25,-110.862465,49.77027,NA,124,4,1,25
BBSAB,BBSAB:1:Stop26,-110.862477,49.761927,NA,124,4,1,26
BBSAB,BBSAB:1:Stop27,-110.862482,49.753583,NA,124,4,1,27
BBSAB,BBSAB:1:Stop28,-110.862488,49.74524,NA,124,4,1,28
BBSAB,BBSAB:1:Stop29,-110.862494,49.736897,NA,124,4,1,29
BBSAB,BBSAB:1:Stop30,-110.862505,49.728553,NA,124,4,1,30
BBSAB,BBSAB:1:Stop31,-110.862521,49.72021,NA,124,4,1,31
BBSAB,BBSAB:1:Stop32,-110.862536,49.711867,NA,124,4,1,32
BBSAB,BBSAB:1:Stop33,-110.862552,49.703524,NA,124,4,1,33
BBSAB,BBSAB:1:Stop34,-110.862569,49.69518,NA,124,4,1,34
BBSAB,BBSAB:1:Stop35,-110.862588,49.686837,NA,124,4,1,35
BBSAB,BBSAB:1:Stop36,-110.862606,49.678494,NA,124,4,1,36
BBSAB,BBSAB:1:Stop37,-110.861084,49.670683,NA,124,4,1,37
BBSAB,BBSAB:1:Stop38,-110.853001,49.669374,NA,124,4,1,38
BBSAB,BBSAB:1:Stop39,-110.844658,49.669373,NA,124,4,1,39
BBSAB,BBSAB:1:Stop40,-110.836315,49.6694,NA,124,4,1,40
BBSAB,BBSAB:1:Stop41,-110.827971,49.66946,NA,124,4,1,41
BBSAB,BBSAB:1:Stop42,-110.819629,49.669537,NA,124,4,1,42
BBSAB,BBSAB:1:Stop43,-110.817423,49.663377,NA,124,4,1,43
BBSAB,BBSAB:1:Stop44,-110.817421,49.655034,NA,124,4,1,44
BBSAB,BBSAB:1:Stop45,-110.81742,49.646691,NA,124,4,1,45
BBSAB,BBSAB:1:Stop46,-110.817417,49.638347,NA,124,4,1,46
BBSAB,BBSAB:1:Stop47,-110.817412,49.630004,NA,124,4,1,47
BBSAB,BBSAB:1:Stop48,-110.81741,49.621661,NA,124,4,1,48
BBSAB,BBSAB:1:Stop49,-110.817412,49.613317,NA,124,4,1,49
BBSAB,BBSAB:1:Stop50,-110.817417,49.604974,NA,124,4,1,50
BBSAB,BBSAB:2:Stop1,-111.40413,49.87325,NAD83,124,4,2,1
BBSAB,BBSAB:2:Stop2,-111.39275,49.87324,NAD83,124,4,2,2
BBSAB,BBSAB:2:Stop3,-111.38124,49.87326,NAD83,124,4,2,3
BBSAB,BBSAB:2:Stop4,-111.37956,49.86817,NAD83,124,4,2,4
BBSAB,BBSAB:2:Stop5,-111.39014,49.86507,NAD83,124,4,2,5
BBSAB,BBSAB:2:Stop6,-111.40088,49.86158,NAD83,124,4,2,6
BBSAB,BBSAB:2:Stop7,-111.4116,49.85816,NAD83,124,4,2,7
BBSAB,BBSAB:2:Stop8,-111.42353,49.8543,NAD83,124,4,2,8
BBSAB,BBSAB:2:Stop9,-111.42706,49.84764,NAD83,124,4,2,9
BBSAB,BBSAB:2:Stop10,-111.42706,49.83962,NAD83,124,4,2,10
BBSAB,BBSAB:2:Stop11,-111.42703,49.83141,NAD83,124,4,2,11
BBSAB,BBSAB:2:Stop12,-111.42706,49.82307,NAD83,124,4,2,12
BBSAB,BBSAB:2:Stop13,-111.42704,49.81504,NAD83,124,4,2,13
BBSAB,BBSAB:2:Stop14,-111.42704,49.8074,NAD83,124,4,2,14
BBSAB,BBSAB:2:Stop15,-111.42708,49.80202,NAD83,124,4,2,15
BBSAB,BBSAB:2:Stop16,-111.42706,49.79384,NAD83,124,4,2,16
BBSAB,BBSAB:2:Stop17,-111.42703,49.78606,NAD83,124,4,2,17
BBSAB,BBSAB:2:Stop18,-111.42703,49.77797,NAD83,124,4,2,18
BBSAB,BBSAB:2:Stop19,-111.42707,49.77016,NAD83,124,4,2,19
BBSAB,BBSAB:2:Stop20,-111.42709,49.76205,NAD83,124,4,2,20
BBSAB,BBSAB:2:Stop21,-111.42709,49.7566,NAD83,124,4,2,21
BBSAB,BBSAB:2:Stop22,-111.42702,49.74902,NAD83,124,4,2,22
BBSAB,BBSAB:2:Stop23,-111.42706,49.74217,NAD83,124,4,2,23
BBSAB,BBSAB:2:Stop24,-111.42701,49.73537,NAD83,124,4,2,24
BBSAB,BBSAB:2:Stop25,-111.42704,49.72803,NAD83,124,4,2,25
BBSAB,BBSAB:2:Stop26,-111.42706,49.72013,NAD83,124,4,2,26
BBSAB,BBSAB:2:Stop27,-111.42708,49.71231,NAD83,124,4,2,27
BBSAB,BBSAB:2:Stop28,-111.42707,49.70418,NAD83,124,4,2,28
BBSAB,BBSAB:2:Stop29,-111.42706,49.69634,NAD83,124,4,2,29
BBSAB,BBSAB:2:Stop30,-111.42701,49.68814,NAD83,124,4,2,30
BBSAB,BBSAB:2:Stop31,-111.42307,49.68313,NAD83,124,4,2,31
BBSAB,BBSAB:2:Stop32,-111.4268,49.67828,NAD83,124,4,2,32
BBSAB,BBSAB:2:Stop33,-111.43776,49.67701,NAD83,124,4,2,33
BBSAB,BBSAB:2:Stop34,-111.4407,49.67003,NAD83,124,4,2,34
BBSAB,BBSAB:2:Stop35,-111.44972,49.66908,NAD83,124,4,2,35
BBSAB,BBSAB:2:Stop36,-111.4497,49.66223,NAD83,124,4,2,36
BBSAB,BBSAB:2:Stop37,-111.44952,49.65495,NAD83,124,4,2,37
BBSAB,BBSAB:2:Stop38,-111.44968,49.64771,NAD83,124,4,2,38
BBSAB,BBSAB:2:Stop39,-111.44946,49.63844,NAD83,124,4,2,39
BBSAB,BBSAB:2:Stop40,-111.44967,49.63033,NAD83,124,4,2,40
BBSAB,BBSAB:2:Stop41,-111.44965,49.62218,NAD83,124,4,2,41
BBSAB,BBSAB:2:Stop42,-111.44971,49.6112,NAD83,124,4,2,42
BBSAB,BBSAB:2:Stop43,-111.44968,49.60397,NAD83,124,4,2,43
BBSAB,BBSAB:2:Stop44,-111.44967,49.59552,NAD83,124,4,2,44
BBSAB,BBSAB:2:Stop45,-111.44969,49.58956,NAD83,124,4,2,45
BBSAB,BBSAB:2:Stop46,-111.44971,49.58209,NAD83,124,4,2,46
BBSAB,BBSAB:2:Stop47,-111.44948,49.57438,NAD83,124,4,2,47
BBSAB,BBSAB:2:Stop48,-111.44969,49.5673,NAD83,124,4,2,48
BBSAB,BBSAB:2:Stop49,-111.44966,49.56038,NAD83,124,4,2,49
BBSAB,BBSAB:2:Stop50,-111.4497,49.55304,NAD83,124,4,2,50
BBSAB,BBSAB:3:Stop1,-112.3969978,49.0899502,NAD83,124,4,3,1
BBSAB,BBSAB:3:Stop2,-112.4102211,49.0866404,NAD83,124,4,3,2
BBSAB,BBSAB:3:Stop3,-112.4212879,49.0866457,NAD83,124,4,3,3
BBSAB,BBSAB:3:Stop4,-112.4318665,49.086694,NAD83,124,4,3,4
BBSAB,BBSAB:3:Stop5,-112.443754,49.0866994,NAD83,124,4,3,5
BBSAB,BBSAB:3:Stop6,-112.4541074,49.0867262,NAD83,124,4,3,6
BBSAB,BBSAB:3:Stop7,-112.4659359,49.0867208,NAD83,124,4,3,7
BBSAB,BBSAB:3:Stop8,-112.4773085,49.0864097,NAD83,124,4,3,8
BBSAB,BBSAB:3:Stop9,-112.4858379,49.0830409,NAD83,124,4,3,9
BBSAB,BBSAB:3:Stop10,-112.4979883,49.0775691,NAD83,124,4,3,10
BBSAB,BBSAB:3:Stop11,-112.5098759,49.0722369,NAD83,124,4,3,11
BBSAB,BBSAB:3:Stop12,-112.5211411,49.0671193,NAD83,124,4,3,12
BBSAB,BBSAB:3:Stop13,-112.532798,49.061889,NAD83,124,4,3,13
BBSAB,BBSAB:3:Stop14,-112.5442457,49.0578174,NAD83,124,4,3,14
BBSAB,BBSAB:3:Stop15,-112.5561493,49.0577423,NAD83,124,4,3,15
BBSAB,BBSAB:3:Stop16,-112.566052,49.057753,NAD83,124,4,3,16
BBSAB,BBSAB:3:Stop17,-112.5784278,49.0577047,NAD83,124,4,3,17
BBSAB,BBSAB:3:Stop18,-112.5874561,49.0576618,NAD83,124,4,3,18
BBSAB,BBSAB:3:Stop19,-112.598952,49.0576564,NAD83,124,4,3,19
BBSAB,BBSAB:3:Stop20,-112.6085543,49.0567016,NAD83,124,4,3,20
BBSAB,BBSAB:3:Stop21,-112.6106196,49.0502053,NAD83,124,4,3,21
BBSAB,BBSAB:3:Stop22,-112.6106572,49.0430813,NAD83,124,4,3,22
BBSAB,BBSAB:3:Stop23,-112.6105928,49.035834,NAD83,124,4,3,23
BBSAB,BBSAB:3:Stop24,-112.6124918,49.0311562,NAD83,124,4,3,24
BBSAB,BBSAB:3:Stop25,-112.6218849,49.028828,NAD83,124,4,3,25
BBSAB,BBSAB:3:Stop26,-112.6326245,49.0285706,NAD83,124,4,3,26
BBSAB,BBSAB:3:Stop27,-112.6436966,49.0285759,NAD83,124,4,3,27
BBSAB,BBSAB:3:Stop28,-112.6548653,49.0285276,NAD83,124,4,3,28
BBSAB,BBSAB:3:Stop29,-112.6658409,49.0285062,NAD83,124,4,3,29
BBSAB,BBSAB:3:Stop30,-112.6769882,49.0292518,NAD83,124,4,3,30
BBSAB,BBSAB:3:Stop31,-112.6882428,49.0291445,NAD83,124,4,3,31
BBSAB,BBSAB:3:Stop32,-112.6998782,49.0267949,NAD83,124,4,3,32
BBSAB,BBSAB:3:Stop33,-112.7104836,49.0273743,NAD83,124,4,3,33
BBSAB,BBSAB:3:Stop34,-112.7214807,49.0280127,NAD83,124,4,3,34
BBSAB,BBSAB:3:Stop35,-112.7324187,49.0284579,NAD83,124,4,3,35
BBSAB,BBSAB:3:Stop36,-112.7436518,49.0284472,NAD83,124,4,3,36
BBSAB,BBSAB:3:Stop37,-112.7549708,49.0284311,NAD83,124,4,3,37
BBSAB,BBSAB:3:Stop38,-112.7659249,49.0284364,NAD83,124,4,3,38
BBSAB,BBSAB:3:Stop39,-112.7771633,49.0284794,NAD83,124,4,3,39
BBSAB,BBSAB:3:Stop40,-112.7874523,49.0284633,NAD83,124,4,3,40
BBSAB,BBSAB:3:Stop41,-112.8003054,49.0284418,NAD83,124,4,3,41
BBSAB,BBSAB:3:Stop42,-112.8104657,49.0284257,NAD83,124,4,3,42
BBSAB,BBSAB:3:Stop43,-112.8217685,49.0284686,NAD83,124,4,3,43
BBSAB,BBSAB:3:Stop44,-112.8326904,49.0284794,NAD83,124,4,3,44
BBSAB,BBSAB:3:Stop45,-112.8439718,49.0284955,NAD83,124,4,3,45
BBSAB,BBSAB:3:Stop46,-112.8550976,49.0284955,NAD83,124,4,3,46
